request_key,custom_id,role,study_id,profile_id,condition_id,outcome_id,replicate_id,requested_model,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,seed,status,required_fields,response_key_map,request_stage,consensus_interaction_protocol_id,consensus_stage_a_request_key,consensus_stage_a_prompt_hash,consensus_stage_a_schema_hash,consensus_feedback_hash
F|target|F0011|Consensus|stage_a|replicate_1,F-e0079a4498e44a491f89a9042f429a71d6f02e03,F,target,F0011,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,5eb0153107ca2a4a64962fa45693add2127d5872258056ed02923faffb1e2e0c,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1492352725,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_human_primary_cause"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_co2_warms_planet""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0011|Consensus|stage_a|replicate_1,5eb0153107ca2a4a64962fa45693add2127d5872258056ed02923faffb1e2e0c,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0012|Consensus|stage_a|replicate_1,F-ecf92256d496056e49bfb838f99fff60d4f019b6,F,target,F0012,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,b6ed462b2db5b27a698a3d098a5507f16a3100e3e3185d6ea2ef61b8e6b4ae69,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,780683807,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0012|Consensus|stage_a|replicate_1,b6ed462b2db5b27a698a3d098a5507f16a3100e3e3185d6ea2ef61b8e6b4ae69,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0013|Consensus|stage_a|replicate_1,F-c0ad600b370ad209ea696e682d405efe8e5ef3db,F,target,F0013,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,a41bbff6f6a74aff03c196e42162da7f96bf57302a1e0f276a590747b1523a2b,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,946180642,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_human_primary_cause"", ""Q003"": ""consensus_estimate_co2_warms_planet""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0013|Consensus|stage_a|replicate_1,a41bbff6f6a74aff03c196e42162da7f96bf57302a1e0f276a590747b1523a2b,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0014|Consensus|stage_a|replicate_1,F-f7bf46c11a3cd224641013800f255874716cf6cb,F,target,F0014,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,0e106d92bc092e485dbe60de17bc6909391c5b1921bbd76de78a84b7a8972fa5,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,163274666,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0014|Consensus|stage_a|replicate_1,0e106d92bc092e485dbe60de17bc6909391c5b1921bbd76de78a84b7a8972fa5,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0015|Consensus|stage_a|replicate_1,F-df8b9aa33e3c8021f7594b60ec3ad0ecfa69e8ef,F,target,F0015,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,7d4d24c8d8fd8561e7c343e83f973825107d9685ac3fda9cb20bbe23fa534392,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,2102637930,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_human_primary_cause"", ""Q003"": ""consensus_estimate_co2_warms_planet""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0015|Consensus|stage_a|replicate_1,7d4d24c8d8fd8561e7c343e83f973825107d9685ac3fda9cb20bbe23fa534392,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0016|Consensus|stage_a|replicate_1,F-8765cdde964500dbdcb31aac04086342a8cecbb5,F,target,F0016,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,55572237d1d8eafa0c44b62cd8ce4af37793cfb7b82df871311d35fba9a1f2ed,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,621845658,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_human_primary_cause"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_co2_warms_planet""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0016|Consensus|stage_a|replicate_1,55572237d1d8eafa0c44b62cd8ce4af37793cfb7b82df871311d35fba9a1f2ed,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0017|Consensus|stage_a|replicate_1,F-98e10c783f8df3f40eac30ad2f7367628b3bb030,F,target,F0017,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,de09f1645362e56b10e690cea01f21f629b01b7576e3a0655b7fef546f181d81,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1901071590,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_human_primary_cause"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_co2_warms_planet""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0017|Consensus|stage_a|replicate_1,de09f1645362e56b10e690cea01f21f629b01b7576e3a0655b7fef546f181d81,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0018|Consensus|stage_a|replicate_1,F-206acfa6402141cd5cae304952e7bb3f5d9459ad,F,target,F0018,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,570c204b97fece62476a3a8428d47ddd8d014b26819a4142dbbd0c36387f3514,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,16179482,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_human_primary_cause"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_co2_warms_planet""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0018|Consensus|stage_a|replicate_1,570c204b97fece62476a3a8428d47ddd8d014b26819a4142dbbd0c36387f3514,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0019|Consensus|stage_a|replicate_1,F-30ca6ae8ac261960f887519831b1445c965f1484,F,target,F0019,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,4ee7e6ee198d6e6a64ca2e7d522ee02483f84f9c787a1b9c4231a3db554ea7e9,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,230354738,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_human_primary_cause"", ""Q003"": ""consensus_estimate_co2_warms_planet""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0019|Consensus|stage_a|replicate_1,4ee7e6ee198d6e6a64ca2e7d522ee02483f84f9c787a1b9c4231a3db554ea7e9,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0020|Consensus|stage_a|replicate_1,F-b29f72b287d9ec5478a82547512e0f806f52b181,F,target,F0020,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,976fa1ef7b1442a12fc0b32f7a3b21e662ad3ccba384af297a9945c2960755f7,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1830343099,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0020|Consensus|stage_a|replicate_1,976fa1ef7b1442a12fc0b32f7a3b21e662ad3ccba384af297a9945c2960755f7,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0021|Consensus|stage_a|replicate_1,F-976fab2377e5ec41f20ad00e6aa46f4439dcda0d,F,target,F0021,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,67e820ffcb32252a7658ca050d223ad91c83844401c58040a82c90cafdb0ff23,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,650461834,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0021|Consensus|stage_a|replicate_1,67e820ffcb32252a7658ca050d223ad91c83844401c58040a82c90cafdb0ff23,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0022|Consensus|stage_a|replicate_1,F-192f5b525233d8812b1d5407ef5728bda2d9688e,F,target,F0022,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,0038e55d2db9e9d992b4c9603e096a291fe611fa5d1fc0fff4a1e8d9bb8fbf5c,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,76713766,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_human_primary_cause"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_co2_warms_planet""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0022|Consensus|stage_a|replicate_1,0038e55d2db9e9d992b4c9603e096a291fe611fa5d1fc0fff4a1e8d9bb8fbf5c,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0023|Consensus|stage_a|replicate_1,F-07efbe0c6f13247e3d97283f755f39f5d9b86737,F,target,F0023,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,1c08d24dd1d54f52340e19e4af741deeba3839a787c7361675563a34821c84b5,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,2129830038,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_human_primary_cause"", ""Q003"": ""consensus_estimate_net_zero_before_2085""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0023|Consensus|stage_a|replicate_1,1c08d24dd1d54f52340e19e4af741deeba3839a787c7361675563a34821c84b5,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0024|Consensus|stage_a|replicate_1,F-bb492a32ed9c25e7432084268f177942fbb3123a,F,target,F0024,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,0e651fc5cfea71c9f8a2d1941448168e3636dfcc51ec171108cdc7d2f7e9caa9,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1680767567,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0024|Consensus|stage_a|replicate_1,0e651fc5cfea71c9f8a2d1941448168e3636dfcc51ec171108cdc7d2f7e9caa9,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0025|Consensus|stage_a|replicate_1,F-8c8f14d816a0489c3983cbdad1d40569cc0fa046,F,target,F0025,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,928b8608c2be21fc3359ba95b8ae160c45479544b6aae90b8d8baf282f0ef58c,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,801010254,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0025|Consensus|stage_a|replicate_1,928b8608c2be21fc3359ba95b8ae160c45479544b6aae90b8d8baf282f0ef58c,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0026|Consensus|stage_a|replicate_1,F-260ffd8983f30a5daa8299bf52721b947e6e40df,F,target,F0026,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,41e32a1aa322e762094087443292b3f9e98b9b4e21d78ccb0fbf6c529c5202d1,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1343423856,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0026|Consensus|stage_a|replicate_1,41e32a1aa322e762094087443292b3f9e98b9b4e21d78ccb0fbf6c529c5202d1,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0027|Consensus|stage_a|replicate_1,F-2c31656b6ae94b55a4c39421f5e19c2312b791a0,F,target,F0027,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,197c7a13697e05a965b09acc4480fac34a84ade333f5e7dce3cb3ee8b75854ac,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1129059884,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0027|Consensus|stage_a|replicate_1,197c7a13697e05a965b09acc4480fac34a84ade333f5e7dce3cb3ee8b75854ac,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0028|Consensus|stage_a|replicate_1,F-8bdd2ec60e1c00d190a4bc3c6ac6c13066d4889e,F,target,F0028,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,911f3233db654b09cf0496667180aa9e091750f6e89d66c495db81e6f32e6107,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,634805855,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_human_primary_cause"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_co2_warms_planet""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0028|Consensus|stage_a|replicate_1,911f3233db654b09cf0496667180aa9e091750f6e89d66c495db81e6f32e6107,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0029|Consensus|stage_a|replicate_1,F-9911e079efe0ecadb462f203a1642606eda1e4c7,F,target,F0029,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,55d4e750caa5bb4677216e67fbb973e77384880bb1a6029c831eaff29279dbc4,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,570731939,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_human_primary_cause"", ""Q003"": ""consensus_estimate_co2_warms_planet""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0029|Consensus|stage_a|replicate_1,55d4e750caa5bb4677216e67fbb973e77384880bb1a6029c831eaff29279dbc4,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
