donor_key,request_key,custom_id,assigned_variant,assigned_filler,condition_id,outcome_id,requested_model,seed,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,engine_config_hash,response_format_instruction_version,study_id,request_stage,phase,intended_logical_identity,replacement_replicate_id
LP0024,G|LP0024|control|replicate_2|fmt_v2,G-898093364c5bc4c4c1763fda8c41d81f106a0566,3,dances,control,full_questionnaire,google/gemma-4-31B-it,1599925042,d7639ace78dc3798169c083e46936571a83d0fd4806b27d74bfdc48055c0184d,17e840beffca49f7aad5b74c0d2dd7f7d56596a8fce6f5e8ef555d0f04950118,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0024|control,2
LP0026,G|LP0026|control|replicate_2|fmt_v2,G-e6cabc8b53f4623154f3ba0106fb87e9b557d141,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,562682699,e4e18db1779707e696b389143711af61b93a3db9b086d2c4f51eadee47f86eaf,df3cffc3387d2d032d676be1885201bdab5635202d3ecd7c397542171469c65d,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0026|control,2
LP0027,G|LP0027|control|replicate_2|fmt_v2,G-b856c3f4c508e9a57f04517941dca4fe4d26fe75,3,dances,control,full_questionnaire,google/gemma-4-31B-it,901149073,913fa5544288756e591f484ca2dca444acab42d93895dd1f41385cdbc15bdb74,c9c7b262ac83f5211692d3dfc4f5cb9d347c27912d75d980a273fdda09a88f38,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0027|control,2
LP0028,G|LP0028|control|replicate_2|fmt_v2,G-dbf2bf3127525ed8c23270f0fced459aab15d8df,3,dances,control,full_questionnaire,google/gemma-4-31B-it,1597496637,522ceb8c7851e0e0ac8cf0caf6d6934c590496033e4614accc35e5590cdab0ed,2f283341263ece8bdda396bb0a7b492edf60ad6c271ad09efba29b9d8231244d,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0028|control,2
LP0029,G|LP0029|control|replicate_2|fmt_v2,G-71f5cf1e58e702c0ce3daa1b134877ea9c1793ab,3,dances,control,full_questionnaire,google/gemma-4-31B-it,1020436734,12902d6bcdaadce5409b0e56895d42cd2dd595ca00f56dc7130a7f7e23dd3e36,2f283341263ece8bdda396bb0a7b492edf60ad6c271ad09efba29b9d8231244d,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0029|control,2
LP0030,G|LP0030|control|replicate_2|fmt_v2,G-584152b897ad6bc786295664217894d596dd4e37,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,1211109689,f78561eea7d8b336d93f46ea3a5b7b18f300da8977888066306628f948ceaa40,0dbe0028b8b567069f50a339d038e32ebe03239ce5b220686ba319356ec5b996,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0030|control,2
LP0032,G|LP0032|control|replicate_2|fmt_v2,G-88661af7525d4e1179b5e35443e07f74adf85fb0,3,dances,control,full_questionnaire,google/gemma-4-31B-it,1663665153,2f9c49d601317aece068a7c18507361bb3f9161e9bb9d69f726cb142e264dcda,80795f7420a1828775290d44b68771a715025c5acdc160e5378bc09d1b5cd531,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0032|control,2
LP0034,G|LP0034|control|replicate_2|fmt_v2,G-5be65de7f4fc9927cdf7b1418e0fb759beed464e,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,751391992,4857997668cc2e70d9a814c20942452ebf1409d09eae5b834adaba6b78e3c58c,0dbe0028b8b567069f50a339d038e32ebe03239ce5b220686ba319356ec5b996,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0034|control,2
LP0035,G|LP0035|control|replicate_2|fmt_v2,G-f8355150ed96e43578fc84507636734ec5f6fc01,3,dances,control,full_questionnaire,google/gemma-4-31B-it,1577158362,2dca9a040ef72270a08dfb1ac00e42394c96399964506494e052cb3436fb4c7f,0aea5f34d3d057b0d300be3ff57b856d896603ba75b1a0863de9cd5246964d13,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0035|control,2
LP0036,G|LP0036|control|replicate_2|fmt_v2,G-9755afae95b74a46b51675ac649be92604ab4d4d,3,dances,control,full_questionnaire,google/gemma-4-31B-it,1147316645,d898f941fc876f1d1321c92779dc51201f83664665e8a0885922b51a4c703f94,c9f997b775e548ba417a5910bd5850278f5ab015be7bb45f59d26a44b9ca7485,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0036|control,2
LP0037,G|LP0037|control|replicate_2|fmt_v2,G-a56cc736e3401c891d31ee580b35bf01358ad59c,3,dances,control,full_questionnaire,google/gemma-4-31B-it,773434105,c247adfe059a6c02cb53120046d05b2a4ad993a6281901077c5619decf7ce624,0dbe0028b8b567069f50a339d038e32ebe03239ce5b220686ba319356ec5b996,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0037|control,2
LP0039,G|LP0039|control|replicate_2|fmt_v2,G-a9306918e62b29eef1ec089df43098aea492aff5,3,dances,control,full_questionnaire,google/gemma-4-31B-it,948698146,6b2cb17ec597555d171b75f690b2c4fa6b49eefe4ca0521ce83285cd0fa3f55f,8f8e905aae85f2ea3b9ec64392fea7166ac3e808c7205d22ed4102dd1751c845,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0039|control,2
LP0041,G|LP0041|control|replicate_2|fmt_v2,G-9cd0f87c5430444b837743581a0f0b2ad0c0a501,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,231880006,2840c5bb40ee89a2efd3daa8bf211dcfc552fba0da47e942a642cd5ca8219887,19c3b5916bf557b6fa867f2b93d45322e95a195701995857c8a25831ac7660e5,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0041|control,2
LP0042,G|LP0042|control|replicate_2|fmt_v2,G-92417a8f623c53bc6f8a37123aa5feb9d540ac48,3,dances,control,full_questionnaire,google/gemma-4-31B-it,113199325,bd639b863050f61b08c4315ecb7fc8c034f11a560104c64a31f845a800af4ae7,f56353b83194586fe0399f9880caf29829d2c29e68cd12ecb39a9f31810f47f2,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0042|control,2
LP0043,G|LP0043|control|replicate_2|fmt_v2,G-5daa2e7da49ed2c39795674f5d750fd2913a84df,3,dances,control,full_questionnaire,google/gemma-4-31B-it,1609772991,6f3a6a54afe1ddcfc317f38837689ac3c464c21f677c84772a9bb9f79ddf4edd,ab0fdf2f5a89282ad9bbbe710f0bce609804284bbc2b55b041f4bc61763c57e7,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0043|control,2
LP0044,G|LP0044|control|replicate_2|fmt_v2,G-6af7cbda0cd2d7b2bdda2ba82c0cb3d478dabc6e,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,1656909671,11beba1a5ff679504b24bfb8b32d676978816d6b6047e72c82433aec6235bdb6,87e3ccbe57528e4eff1e3b8bc29173f7bfb94429cf88915552a6975a5adc8377,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0044|control,2
LP0045,G|LP0045|control|replicate_2|fmt_v2,G-8c4e734298ebf0286367c372f52d1ab643f6a0db,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,831051439,33b10c768f4d09f284710f7759cd9f20d4e861acd0b94c203e17a12ce1432bbe,e1ba8f56f11ff0231487cbe2d31f95799407ffa7be765765565a7c1337335fb4,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0045|control,2
LP0046,G|LP0046|control|replicate_2|fmt_v2,G-e4393f471ccae6241476bf601dfdc3f472d456b6,3,dances,control,full_questionnaire,google/gemma-4-31B-it,1698522293,225fabd311aa45c8d7ce99a7efa854732ecbbf2b1e6f1778b183fca4b658fd5a,f6e79632b071296a8163c418ba80cacd2272850a3d280064326088189590fa0d,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0046|control,2
LP0047,G|LP0047|control|replicate_2|fmt_v2,G-a2c66d5ec645fa4701d293bd90af7686822ffbac,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,198366471,59b5add24c909962c8e2cfc4f7dbb2e2a64fc7c7eca89b174c8b2229c1793175,b3d274444556be3591afc28428470a85a0cfa3f9daaec8f6baf7cc3e9e220e28,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0047|control,2
LP0049,G|LP0049|control|replicate_2|fmt_v2,G-fa72efc6d6c119d9bc6a64c940dddea3d5a7e813,3,dances,control,full_questionnaire,google/gemma-4-31B-it,1269234026,a4b983c3d1d04c2ae00de1d986e5dd15a718117566dcd91ecefa8cc00c31b9a4,d94445606cda6c5048271412ed232f3610e9b3a57806f6bf4039d733c88da962,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0049|control,2
LP0050,G|LP0050|control|replicate_2|fmt_v2,G-3dd0e8f9e8489303ccd2c7df6d65149f8469116e,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,1676305655,9cf829875b76bfd7e2a2a58507aa72460de5fce805f445166d85499cde944089,f6e79632b071296a8163c418ba80cacd2272850a3d280064326088189590fa0d,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0050|control,2
LP0052,G|LP0052|control|replicate_2|fmt_v2,G-55f0c9430f37a852925b7fe479e8dac0353758e0,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,991509209,01e90a88467e5455ef406c97528757f3afe0a99d386b3dd2d656ce8355756156,4a8ccc2f7e458cc0e1100c7470299f3d0c02e4c01833b8a586127861fb98f104,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0052|control,2
LP0054,G|LP0054|control|replicate_2|fmt_v2,G-0834037b238fc619b8ab0197751c25f443f509dc,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,871877903,2bd4b116a0928b79442d90abc72f9ad0819d2bb27358f376301b48dae7c810af,f6e79632b071296a8163c418ba80cacd2272850a3d280064326088189590fa0d,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0054|control,2
LP0055,G|LP0055|control|replicate_2|fmt_v2,G-0284489e20ead78c0f630d7a094c716af0a51251,3,dances,control,full_questionnaire,google/gemma-4-31B-it,636709064,3b0d72f965f7a68812733afba2cdaaeb3616a96dbe9650c58c418b962142efcf,173ecccd0aeff9962c089cb3cf359fcbd1de1130be32d8d588600bc1195636c0,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0055|control,2
LP0056,G|LP0056|control|replicate_2|fmt_v2,G-903b22b2e06450440fb7730ec268826947711b80,3,dances,control,full_questionnaire,google/gemma-4-31B-it,14325164,bedb29f0899d7fcaad3412a0eab8ac3cc77eddafbc767413971b8b7500a4fd76,8e7e715dd759c9180343ac172b647c46fa3af0d9e1e5a240759b1b37312271fd,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0056|control,2
LP0057,G|LP0057|control|replicate_2|fmt_v2,G-031d3a6b9428a36cd754e51a9697ff052fbf3370,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,442701891,a2faab7e1ce9483139bf59c58ff1d4106d0989db360433d266927457e39864d5,c51de1e63d334c33719959a966939471f82e96fd977dc745dafab433357af94e,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0057|control,2
LP0063,G|LP0063|control|replicate_2|fmt_v2,G-28c1075d74fd066c938c40c7af876779a0e26292,3,dances,control,full_questionnaire,google/gemma-4-31B-it,1182733607,e425f43946355e49dd659c5c0fcbd6b576968591b05fe98b39335299f5f413b8,9965dbbd78907789b090a31a64821edc5afb4e49243f6dc0e4ad9272a342ff5d,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0063|control,2
LP0064,G|LP0064|control|replicate_2|fmt_v2,G-87cc777a448a2b181a6b10dc1da8fccf902a46ff,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,1411586574,9ebe5ce064a633f47b8c2186f5fcbf9c25f298d550fed6cca19502adc9696072,946056600450ab8cdd39a4bc8983792aef7b46b0b22a2395d1bf558a96e4097f,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0064|control,2
LP0065,G|LP0065|control|replicate_2|fmt_v2,G-3554e801ed4723ba5ec5ea7a29532f312f2eda11,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,1475408830,53430685e8640301c8dea7b96150efcd47a7b93847a8489dedb6f9d0e954b9c2,17e840beffca49f7aad5b74c0d2dd7f7d56596a8fce6f5e8ef555d0f04950118,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0065|control,2
LP0066,G|LP0066|control|replicate_2|fmt_v2,G-af827d0cf970fe5dfad689319520c2a46c328ce6,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,1484126329,6c27fd577371272dbc2b8892c1a8598269d5815149675272bf45d54635740182,0e0e962bc48e41e706fcd85e7194ed969e2b19534dce8b4f6cd6f56b1e85569e,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0066|control,2
LP0067,G|LP0067|control|replicate_2|fmt_v2,G-e2e49125dfd046e9aaefa41f450d7961bcac0373,3,dances,control,full_questionnaire,google/gemma-4-31B-it,630810936,ae5983d137243f74d560f395859c4aeaa6c79cbc9acbad70df5ddce28c7b74e3,5f7d07b470b54a5cafb17164344fd857d32476ff684398def613e82b6b9c0584,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0067|control,2
